"ほげほげ"		,"ホゲホゲ"
"ＮＨＫ Ｅテレ・盛岡",	"ＮＨＫ Ｅテレ・岩手"
"ＴＢＣテレビ",	"東北放送"
"ＡＫＴ秋田テレビ",	"秋田テレビ"
"ＴＵＹ",	"テレビユー山形"
"ＫＦＢ福島放送",	"福島放送"
"ＦＴＶ福島テレビ",	"福島テレビ"
"日テレ",	"日本テレビ"
"ＴＢＳ",	"ＴＢＳテレビ"
"ＴＯＫＹＯ　ＭＸ１",	"ＴＯＫＹＯ　ＭＸ"
#---2011.11.06-ADD---
"ＴＯＫＹＯ　ＭＸ２",	"ＴＯＫＹＯ　ＭＸ・２"
#---2011.11.06-ADD---
"放送大学１",	"放送大学"
"ＴｅＮＹ",	"テレビ新潟"
"新潟テレビ２１",	"ＵＸ　新潟テレビ２１"
"ＢＳＮ",	"新潟放送"
"ＵＴＹ",	"テレビ山梨"
"ＴＳＢ",	"テレビ信州"
"ＳＢＣ信越放送",	"信越放送"
"ＫＮＢテレビ",	"北日本放送"
"富山テレビ放送",	"富山テレビ"
"ＨＡＢ",	"北陸朝日"
"ＭＲＯ",	"北陸放送"
"静岡朝日テレビ",	"ＳＡＴＶ"
"ＣＢＣ",	"ＣＢＣテレビ"
"ＮＨＫ総合・津",	"ＮＨＫ総合・三重"
"ＢＢＣびわ湖放送",	"びわ湖放送"
"ＭＢＳ毎日放送",	"毎日テレビ"
"よみうりテレビ",	"読売テレビ"
"ＷＴＶ",	"テレビ和歌山"
"ＢＳＳテレビ",	"山陰放送"
"ＲＮＣ西日本テレビ",	"西日本放送"
"ＲＳＫテレビ",	"山陽放送"
"ＯＨＫ",	"岡山放送"
"ＲＣＣテレビ",	"中国放送"
"ｔｙｓテレビ山口",	"テレビ山口"
"ＫＲＹ",	"山口放送"
"ｙａｂ山口朝日",	"山口朝日放送"
"ＫＢＣテレビ",	"ＫＢＣ"
"ＲＫＢ毎日放送",	"ＲＫＢ"
"ＦＢＳ福岡放送",	"ＦＢＳ"
"ＴＶＱ九州放送",	"ＴＶＱ"
"ＳＴＳサガテレビ",	"ＳＴＳ"
"ＮＢＣ長崎放送",	"ＮＢＣ"
"ＮＣＣ長崎文化放送",	"ＮＣＣ"
"ＲＫＫ熊本放送",	"ＲＫＫ"
"くまもと県民",	"ＫＫＴ"
"ＫＡＢ熊本朝日放送",	"ＫＡＢ"
"ＯＢＳ大分放送",	"ＯＢＳ"
